Group,Game,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial,Gameplay,Gameplay 2,Tutorial 2,Tutorial 3
1,Avengers: Infinity Quest,Stern,2020,https://sternpinball.com/wp-content/uploads/2020/08/Avengers-LE-Playfield-lknawef.jpg,https://tiltforums.com/t/avengers-infinity-quest-rulesheet/6740,https://www.youtube.com/watch?v=2_xcLBHzaSo,https://www.youtube.com/watch?v=mHw2DOdeHx8,,,
1,Metallica,Stern,2013,https://imgproxy.pinside.com/kVefWQVMmhl1f0pDbSq4Wnp1YVXJzLDTz5FZQHr8CXw/rs:fit:2048/q:85/fn:Pinside_archive_2186_2506266/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzQvOGIvZGQvNDhiZGQ5ZDQ1NmM4MjAxMzMwMDc5NjRlMzQ5MjgxNTg4NTMzNTJjMC5qcGc,https://tiltforums.com/t/metallica-rulesheet/228,https://www.youtube.com/watch?v=O26SH3gNVnY,,,,
1,Iron Maiden,Stern,2018,https://sternpinball.com/wp-content/uploads/2018/10/IM-LE-Playfield-01b.png,http://tiltforums.com/t/iron-maiden-pinball-rulesheet/3787,https://www.youtube.com/watch?v=zaCEffQkj4o,,,,
1,Star Trek,Stern,2013,https://sternpinball.com/wp-content/uploads/2018/10/PREM-PF.jpg,https://tiltforums.com/t/star-trek-wiki/456,https://www.youtube.com/watch?v=wYZuLK6ShUk,https://www.youtube.com/watch?v=kkJn4ypmq3M,,,
,,,,,,,,,,
2,The Uncanny X-Men,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/09/LEXTop-3kjafh89hf.jpg,https://tiltforums.com/t/the-uncanny-x-men-rulesheet/9100,,,,,
2,Star Wars,Stern,2017,https://sternpinball.com/wp-content/uploads/2018/10/StarWarsLE-Playfield.png,https://tiltforums.com/t/star-wars-stern-rulesheet/2812,https://www.youtube.com/watch?v=2jjRkzCEVto,,,,
2,The Simpsons Pinball Party,Stern,2003,https://imgproxy.pinside.com/RIAZC0DAD2IUDAAgui_4rM6KDBwp6yPikbNNnlSaXpw/rs:fit:2048/q:85/fn:Pinside_archive_1143_2506249/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzMvNGIvMmEvMzRiMmFjZWNlZTU2MzNkOGViNWY1NGNjZWY0ZTkwZGU0YWEwNThlMy5qcGc,https://www.pinball.org/rules/simpsonspinballparty.txt,https://www.youtube.com/watch?v=4ARXdYALc9o,https://www.youtube.com/watch?v=JU4lpB-VGEQ,,,
2,The Mandalorian,Stern,2021,https://sternpinball.com/wp-content/uploads/2021/05/Mandalorian-LE-Playfield-01-afnkjkn3fad.jpg,https://tiltforums.com/t/the-mandalorian-rulesheet/7056,,https://www.youtube.com/watch?v=Ew_P40Fq4EA,,,
,,,,,,,,,,
3,The Getaway: High Speed II,Williams,1992,https://imgproxy.pinside.com/rUzfGvBQRNLLDamKPC_CI12ylcgMe8DiDUVpe79omfM/rs:fit:2048/q:85/fn:Pinside_archive_207_2353782/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzkvNmQvMjQvOTZkMjQ5NDY2YjZjMGY3MTg5YmZjYjBjOWRiNjFjMTgwZDBlZjc1Zi5qcGVn,https://www.pinball.org/rules/getaway.html,,https://www.youtube.com/watch?v=Dhk6rcqi128,,,
3,Monster Bash,Williams,1998,https://imgproxy.pinside.com/pZuLgEgy0hWsr2i1czlrPnNHHyarew5je1FiDU6zKn4/rs:fit:2048/q:85/fn:Pinside_archive_972_3059532/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzIvMzEvNmUvMjMxNmU4ZjkwMjdkZWE2YzAwNGIzZTAzMTAyZmVmZTZlYTJjMjI5ZC5qcGc,https://pinball.org/rules/monsterbash.txt?utm_source=chatgpt.com,https://www.youtube.com/watch?v=5mFFmopZ5Y8,https://www.youtube.com/watch?v=gVE919IMPNc,,,
3,Indiana Jones: The Pinball Adventure,Williams,1993,https://i0.wp.com/arcade83.us/wp-content/uploads/2022/09/e10cd8_098ae4bfb87b4ac5a401df7617fcdc65mv2.webp,https://www.ipdb.org/rulesheets/1267/indiana.htm,https://www.youtube.com/watch?v=u2G0A-BIpAY,,,,
3,Cactus Canyon,Bally,1998,https://imgproxy.pinside.com/u2RvRbqVBaQ56LRJ5hfaX0Uq0yDOG4PbY_CvAg-mcd4/rs:fit:2048/q:85/fn:Pinside_archive_2979_2616905/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tL2QvOGMvOTIvZDhjOTJmNDNmYTFjOTFjYmZjMDRiOWU1M2E4ZWM1YzUxYzY3OTk4Ny5qcGc,https://gamefaqs.gamespot.com/pinball/915657-cactus-canyon/faqs/40815?raw=1,,https://www.youtube.com/watch?v=j-x03RBvTs4,,,
3,Tales of the Arabian Nights,Williams,1996,https://firebirdpinball.com/wp-content/uploads/2015/01/TOTAN2.jpg,https://pinball.org/rules/talesofthearabiannights.html,,https://www.youtube.com/watch?v=tY2pFjj1Phg,,,
3,The Addams Family,Bally,1992,https://imgproxy.pinside.com/GVc59F2RRq1K9VlRok_O3nIoAFOX6vnqlt0iSp8AShE/rs:fit:2048/q:85/fn:Pinside_archive_2_1564480/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tLzIvYmEvNjIvMmJhNjJjYzRjNjljMjUxY2Y4ZmY0MWUwZTI3ZjlkMjZjMGRhZTk5YS5qcGVn,https://www.pinball.org/rules/addamsfamily.html,https://www.youtube.com/watch?v=XSw7fK6x1mw,,,,
,,,,,,,,,,
4,Rush,Stern,2022,https://sternpinball.com/wp-content/uploads/2022/01/Rush-LE-Playfield-gadf.jpg,https://tiltforums.com/t/stern-rush-rulesheet/7409,https://www.youtube.com/watch?v=ZphTCC_rN0s,https://www.youtube.com/watch?v=l68I6GMrIN4,,https://www.youtube.com/watch?v=CVSaXrbxtHM,https://www.youtube.com/watch?v=h139DUjCeU0
4,Foo Fighters,Stern,2023,https://sternpinball.com/wp-content/uploads/2023/02/FooFighters-LE-Playfield-akjh3f.jpg,https://tiltforums.com/t/foo-fighters-rulesheet/8162,https://www.youtube.com/watch?v=JfcJZYAnq6M,https://www.youtube.com/watch?v=ZqIcJG8PA-c,,,
4,AC/DC,Stern,2012,https://sternpinball.com/wp-content/uploads/2018/10/ACDC-Premium-no-Drummer-LUCI-PF-012518.jpg,http://bit.ly/acdcrulesheet,https://www.youtube.com/watch?v=ci7gXjSLq9o,https://www.youtube.com/watch?v=bavgiSj5DJU,,,
4,Kiss,Stern,2015,https://imgproxy.pinside.com/ACTYe6GxLQnvnxoLH1GCkBHFA1GMAQdjYWEEcGBk4fk/rs:fit:2048/q:85/fn:Pinside_archive_2227_107333/format:best/aHR0cHM6Ly9vLnBpbnNpZGUuY29tL2QvYjgvOGYvZGI4OGYwNjI3ZWQwYmI3MTgxOTlhNTMzZmEzMzBmN2MxZDcwNjJjZi5qcGc,https://tiltforums.com/t/kiss-wiki-rulesheet/732,https://www.youtube.com/watch?v=W-VZAdtlo80,,,,
4,Godzilla,Stern,2021,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-LE-Playfield-afasdf.jpg,https://tiltforums.com/t/stern-godzilla-rulesheet/7210,https://www.youtube.com/watch?v=roJbHZe4YfQ,https://www.youtube.com/watch?v=qxv1rdFisR8,https://www.youtube.com/watch?v=9rLcMSuommU,,
4,Deadpool,Stern,2018,https://sternpinball.com/wp-content/uploads/2018/09/DP-LE-Playfield-01a.png,https://tiltforums.com/t/deadpool-rulesheet/4311,https://www.youtube.com/watch?v=7ZMPyTqiot4,,,,
4,The Munsters,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/01/Munsters-Pro-Playfield.jpg,https://tiltforums.com/t/the-munsters-rulesheet/4781,,,,,
4,Pulp Fiction,CGC,2024,https://www.chicago-gaming.com/images/pfp/playfield_full.jpg,https://tiltforums.com/t/pulp-fiction-rulesheet/8471,,https://www.youtube.com/watch?v=iY--DPVTWWM,https://www.youtube.com/watch?v=XQSm-MeiSMg,,
4,Tron: Legacy,Stern,2011,https://www.ipdb.org/images/5682/image-7.jpg,https://www.pinballnews.com/games/tron/index6b.html?utm_source=chatgpt.com,https://www.youtube.com/watch?v=8u1bVbwYy0U,https://www.youtube.com/watch?v=ZvIeDk0y3WM,,,
4,Teenage Mutant Ninja Turtles,Stern,2020,https://sternpinball.com/wp-content/uploads/2020/05/TMNT-LE-Playfield_New_Decal-4tnasdfad.jpg,https://tiltforums.com/t/stern-tmnt-rulesheet/6599,,,,,
,,,,,,,,,,
5,Scared Stiff,Bally,1996,https://www.cometpinball.com/cdn/shop/products/CometPinballScaredStiffLEDKitPlayfield.jpg,https://www.ipdb.org/rulesheets/3915/SCARED.HTM?utm_source=chatgpt.com,,https://www.youtube.com/watch?v=0CTIo1mvTJs,,,
5,Dungeons & Dragons: The Tyrant's Eye,Stern,2025,https://sternpinball.com/wp-content/uploads/2025/01/DungeonLETopPlayfield-adfkjehfa3.jpg,https://tiltforums.com/t/dungeons-dragons-the-tyrants-eye-rulesheet/9267,,https://www.youtube.com/watch?v=eLmtVP2-xyc,,,
5,Star Wars: Fall of the Empire,Stern,2025,https://sternpinball.com/wp-content/uploads/2025/09/EmpireLETopx.jpg,https://tiltforums.com/t/star-wars-fall-of-the-empire-rulesheet/9872,,,,,
5,John Wick,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/05/JohnWick-LE-Playfield-akldhjf3rkljhaesf5yshbt.jpg,https://tiltforums.com/t/john-wick-rulesheet/8956,,,,,
5,Elvira's House of Horrors,Stern,2019,https://sternpinball.com/wp-content/uploads/2023/10/ElviraPlayFieldA9145.jpg,https://tiltforums.com/t/elvira-s-house-of-horrors-rulesheet-wip/5815,,https://www.youtube.com/watch?v=o8vUqabRAp8,,,
,,,,,,,,,,
6,James Bond 007,Stern,2022,https://sternpinball.com/wp-content/uploads/2022/09/JamesBond-LE-Playfield-knadf.jpg,https://tiltforums.com/t/stern-james-bond-rulesheet/7893,https://www.youtube.com/watch?v=GnQr9qIZz_0,https://www.youtube.com/watch?v=FbSbZDtegVk,,,
6,King Kong,Stern,2025,https://sternpinball.com/wp-content/uploads/2025/04/LETopPlayfield.jpg,https://tiltforums.com/t/king-kong-myth-of-terror-island-rulesheet/9514,https://www.youtube.com/watch?v=OCp5Ria5IIA,https://www.youtube.com/watch?v=Esw-G7rUTw8,,,
6,Ghostbusters,Stern,2016,https://sternpinball.com/wp-content/uploads/2018/10/Stern-GhostbustersLE-Playfield-01x.png,https://tiltforums.com/t/ghostbusters-pinball-rulesheet/1358,,,,,
6,Jaws,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/01/Jaws-LE-Playfield-adfkj3r.jpg,https://tiltforums.com/t/jaws-rulesheet/8781,https://www.youtube.com/watch?v=zIWTjveC9p4,https://www.youtube.com/watch?v=7fVazJdhf_8,,,
6,Jurassic Park,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/07/JurassicPark-LE-Playfield.jpg,https://tiltforums.com/t/stern-jurassic-park-rulesheet/5644,https://www.youtube.com/watch?v=vVs_0jqCPGA,https://www.youtube.com/watch?v=ZU6byRKtsZk,,,
6,Game of Thrones,Stern,2015,https://www.pinballnews.com/games/gameofthrones/8a.jpg,https://tiltforums.com/t/game-of-thrones-pinball-rulesheet/936,https://www.youtube.com/watch?v=XOfVLODSMUA,,,,
,,,,,,,,,,
7,Attack from Mars,Bally,1995,https://www.pinballbulbs.com/sites/default/files/attack_from_mars_white.jpg,https://www.pinball.org/rules/attackfrommars.html,https://www.youtube.com/watch?v=xri-ffVoPqo,https://www.youtube.com/watch?v=GHujEZBkuis,,,
7,Black Knight: Sword of Rage,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/03/BlackKnight-LE-Playfield-01a.jpg,https://tiltforums.com/t/black-knight-sword-of-rage-rulesheet/5210,https://www.youtube.com/watch?v=i8CZsGEcmBA,https://www.youtube.com/watch?v=musEx6lbttQ,,,
7,Godzilla LE,Stern,2021,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-LE-Playfield-afasdf.jpg,,,,,,
7,Medieval Madness,Williams,1997,https://www.cometpinball.com/cdn/shop/products/CometPinballMedievalMadnessLEDKitPlayfield.jpg,https://www.pinball.org/rules/medievalmadness.html,https://www.youtube.com/watch?v=6wb_x3q3z14,https://www.youtube.com/watch?v=21qTR0o5Lmc,,,
7,Venom,Stern,2023,https://sternpinball.com/wp-content/uploads/2023/07/Venom-LE-Playfield-akjnef.jpg,https://tiltforums.com/t/venom-rulesheet/8503,,https://www.youtube.com/watch?v=4rlIHLyfyVA,,,
7,Stranger Things,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/12/StrangerThings-LE-Playfield-09j4gnjrf.jpg,https://tiltforums.com/t/stranger-things-rulesheet-wip/6093,https://www.youtube.com/watch?v=3PpBgoYxgk4,https://www.youtube.com/watch?v=6cX3kmMY72Y,,,